simulation_number,Raw influent flow,Final effluent flow,Wastage flow,Total cycle flow,External recycle flow,Split internal ratio,Internal recycle flow
2001,3868.521703999331,3552.270371759044,316.25133224028394,25502.605454411467,18542.183571886348,0.12123860087768223,3091.9002075468675
2002,12735.934926599715,12345.765277755887,390.1696488438307,33346.57139830076,16187.601362229456,0.13263837802058243,4423.035147917571
2003,4694.110954902957,4643.038333821088,51.07262108186215,29444.361556595864,13733.150837946127,0.37416670665501955,11017.099810795029
2004,17087.837773066225,16563.585103544243,524.2526695219574,37062.95488169721,7962.694659142486,0.32410860183421436,12012.42250432415
2005,18249.879747634972,18188.032579823077,61.84716781188948,30583.063004410797,10766.067121304237,0.05124130849250246,1567.1161677064074
2006,8456.635773359296,8392.060601947464,64.57517141181887,25787.819413417976,16730.744085760176,0.02328384461130128,600.4395807010757
2007,10298.764956040108,9670.17711566231,628.5878403777833,17416.1874610953,6154.157411700595,0.05530860947165087,963.2651117904436
2008,3648.4060976280325,3060.783650416827,587.6224472112026,15664.08487361268,8716.893532137627,0.21059546638872953,3298.7852636899315
2009,3421.3067090991726,3196.1297197005315,225.17698939863652,7273.377925180827,1610.7151904526631,0.30815888517805107,2241.356036142066
2010,4280.722691095198,4163.930258325464,116.7924327697325,28634.408480901457,12153.426637016828,0.42606988684823544,12200.259202681224
2011,7320.8842203672775,7206.01445783634,114.86976253093081,12227.448900485757,3809.333188760444,0.08973511257461853,1097.231504790882
2012,14486.532478464922,14109.413101868082,377.1193765968287,20421.856809767178,4668.949033173489,0.06201078238610271,1266.3753199007174
2013,14179.766117235578,13497.533074407642,682.2330428279244,44659.61254812034,8943.775818069986,0.4822269927727086,21536.07069906804
2014,17135.41248813303,16882.715898885996,252.69658924702475,32486.440967080503,1276.2694112543963,0.43325026322341353,14074.759125013668
2015,1395.677341156557,1272.706245785698,122.97109537085728,22349.395493854525,17189.160369441048,0.16844114672548827,3764.5578101334277
2016,15984.046198899476,15525.327627183447,458.71857171601965,56455.10698993083,15436.194902035526,0.4434473208936806,25034.865990432925
2017,8852.257977111316,8637.267931028333,214.9900460829758,20468.989729971803,9601.862628846438,0.09843520227736292,2014.8691467178965
2018,5678.22314938391,4955.684969190381,722.5381801935213,26871.144010076983,12233.049649564928,0.33343839899928474,8959.871251441211
2019,16770.52878744848,16315.54721637179,454.9815710766766,36071.01546678347,14824.856015453975,0.12407831168694117,4475.630705061659
2020,16956.841224020638,16250.54577623321,706.2954477874272,30329.564595186905,9038.405714542088,0.14290734947251998,4334.317692010742
2021,5179.2111173995345,4411.392355135605,767.8187622639256,8995.47481228704,2962.7578005327796,0.09488169564817032,853.505904293178
2022,16217.086495889389,15740.229989673247,476.8565062161291,53811.625228744975,18910.516405477807,0.34721163506522035,18684.022409811274
2023,10955.365316219613,10763.166869901052,192.19844631855398,24868.220751120945,10456.345456632806,0.13899305614700813,3456.5100071512406
2024,14812.844209890654,14731.80492269494,81.03928719570581,34876.16191564849,16963.619573511187,0.08887727309615477,3099.6981705248663
2025,14954.25582479426,14386.059289251656,568.1965355425999,27631.764612003575,1498.9120005440789,0.40455602352087494,11178.596833070538
2026,12630.557409661847,12162.392168550088,468.1652411117462,15576.452709957215,1376.8367863072647,0.10073272514489369,1569.058531309372
2027,2259.356762371898,2108.6357262375327,150.72103613436266,11368.388294133034,6968.411986934779,0.18829578132016048,2140.6195588319374
2028,16252.68414647927,15945.113212298555,307.5709341807077,29019.60425940372,1891.2025214405076,0.37477139671811,10875.717637898324
2029,8488.491262869306,8370.239401228398,118.25186164090002,25730.32995355814,9538.292306971709,0.2993955547150753,7703.5464204430245
2030,2168.8200685397283,1375.0223134167854,793.7977551229426,13235.024621117282,10558.097879413175,0.03839106468972399,508.10668692779495
2031,18860.56485963906,18378.972082854103,481.5927767849404,62254.174518246844,14458.778419980445,0.46478539832538696,28934.831354943617
2032,9620.610563630797,9225.407657460923,395.20290616987086,42063.41038318002,17108.66266518071,0.36454812048629354,15334.137220562981
2033,16920.222295001447,16442.043544239354,478.1787507620718,38883.5368645666,11334.607123479902,0.27334724004118066,10628.707499595714
2034,4909.709731259459,4469.499133948604,440.2105973108503,7809.03513720101,2662.1686701316366,0.03036953214478091,237.15674386353433
2035,7770.007413335281,7560.275849436557,209.7315638987194,18325.956402526474,9372.95828503549,0.06455274128659227,1182.990723746286
2036,16450.732025971207,15770.443866192087,680.2881597791131,35873.82585696123,2480.422975396029,0.47228502917483317,16942.670923573547
2037,8911.643105283232,8468.714323933582,442.92878134964513,34447.83540616992,11523.73847552117,0.40677313086858274,14012.453883434082
2038,10345.529129348626,9573.876759990457,771.6523693581704,43524.76412278385,19540.63628512836,0.31335261722170366,13638.59877169422
2039,7268.196226263861,7007.663576151282,260.5326501125745,31262.374838999833,16245.621749186015,0.2478556710652064,7748.556905114279
2040,16289.439888253331,16014.542500624368,274.8973876289413,60123.87490501196,18745.65456960632,0.41728482315741033,25088.780550331132
2041,3208.4930447615884,2843.089832904715,365.4032118568672,22833.327349403055,14012.081711901816,0.2458140475842525,5612.752623015105
2042,11980.8173363815,11425.975481015266,554.8418553662235,33242.61394733522,12825.451464609803,0.2537810411946501,8436.345190891981
2043,17200.799016152763,17015.815962665198,184.98305348756483,36296.8082999475,5750.17959440108,0.3676860404750731,13345.829746796791
2044,6952.400559565869,6616.324584164413,336.07597540144974,23642.41568894189,13478.63516728335,0.13583129693625698,3211.379989451235
2045,12538.230125772767,12235.533883666256,302.6962421065045,29130.591615984802,15391.739988810816,0.04121514407805555,1200.6215317840424
2046,18817.300813574897,18662.834067075823,154.46674649906768,35547.73026324156,16426.489099596176,0.008550205128919535,303.9403859247777
2047,11646.244184769464,11045.660357827119,600.5838269423377,32949.779986017325,19403.03927117349,0.05767858127825582,1900.4965650409722
2048,10103.195808196393,9864.098843950425,239.09696424596217,32282.949410543566,15765.20422676546,0.19869774989548145,6414.549415869818
2049,2781.189330397293,2284.0144824954773,497.1748479018124,25014.038215851175,15195.247835855946,0.28134605911620886,7037.601084404723
2050,10063.830247687427,9315.171820013606,748.658427673812,24389.342119703157,11997.723562432087,0.09544285051020128,2327.7883365463836
2051,16588.4787276626,15810.097155588275,778.3815720743157,20282.04557539218,1914.1878199543094,0.08773173501869072,1779.379050007815
2052,13376.826500093166,12919.72037921143,457.1061208817209,30293.62109326912,14103.373502928465,0.09287173401552255,2813.42112364257
2053,11853.296782329875,11255.473191735615,597.8235905942556,31472.931922838234,16810.27679805654,0.0892626839092213,2809.3583770094588
