simulation_number,Target_Effluent_S_O2 (mg/L),Target_Wastage_S_O2 (mg/L),Target_Effluent_S_N2 (mg/L),Target_Wastage_S_N2 (mg/L),Target_Effluent_S_NH4 (mg/L),Target_Wastage_S_NH4 (mg/L),Target_Effluent_S_NO3 (mg/L),Target_Wastage_S_NO3 (mg/L),Target_Effluent_S_PO4 (mg/L),Target_Wastage_S_PO4 (mg/L),Target_Effluent_S_F (mg/L),Target_Wastage_S_F (mg/L),Target_Effluent_S_A (mg/L),Target_Wastage_S_A (mg/L),Target_Effluent_S_I (mg/L),Target_Wastage_S_I (mg/L),Target_Effluent_S_ALK (mg/L),Target_Wastage_S_ALK (mg/L),Target_Effluent_X_I (mg/L),Target_Wastage_X_I (mg/L),Target_Effluent_X_S (mg/L),Target_Wastage_X_S (mg/L),Target_Effluent_X_H (mg/L),Target_Wastage_X_H (mg/L),Target_Effluent_X_PAO (mg/L),Target_Wastage_X_PAO (mg/L),Target_Effluent_X_PP (mg/L),Target_Wastage_X_PP (mg/L),Target_Effluent_X_PHA (mg/L),Target_Wastage_X_PHA (mg/L),Target_Effluent_X_AUT (mg/L),Target_Wastage_X_AUT (mg/L),Target_Effluent_X_MeOH (mg/L),Target_Wastage_X_MeOH (mg/L),Target_Effluent_X_MeP (mg/L),Target_Wastage_X_MeP (mg/L),Target_Effluent_COD (mg/L),Target_Wastage_COD (mg/L),Target_Effluent_BOD (mg/L),Target_Wastage_BOD (mg/L),Target_Effluent_TN (mg/L),Target_Wastage_TN (mg/L),Target_Effluent_TKN (mg/L),Target_Wastage_TKN (mg/L),Target_Effluent_TP (mg/L),Target_Wastage_TP (mg/L),Target_Effluent_TSS (mg/L),Target_Wastage_TSS (mg/L),Target_Effluent_VSS (mg/L),Target_Wastage_VSS (mg/L),Target_Effluent_H2O (mg/L),Target_Wastage_H2O (mg/L)
2001,7.63651127922124,7.63651127922124,9.655654953957708,9.655654953957706,18.458949684634874,18.45894968463487,118.73562619603179,118.73562619603177,145.0643208515238,145.0643208515238,1.670375725784218,1.6703757257842176,0.004855872579879455,0.004855872579879455,200.00000020095433,200.0000002009543,0.18419436189314461,0.18419436189314461,23.99467717872227,12455.740349298563,0.018638851140320753,9.67550796719764,1.2520112584371914,649.9244408806263,0.10524840421839751,54.634900288839994,0.035944578168733726,18.658985461652044,7.15253057931658e-06,0.0037129094537428345,0.10389915042372878,53.93449682825002,0.00011150525230295157,0.057882857098832174,0.8743923195576054,453.9008220326634,227.1497137947909,13425.58863997225,2.039905742843307,436.607505364541,139.8276073689853,441.841083118949,21.091981172953552,323.10545692291726,145.56590298146435,396.7834778712727,20.3154647355859,10545.845311316838,16.782511709490013,8711.874167152342,996794.3796325867,987997.9780721546
2002,6.949921672656689,6.949921672656693,6.266863171089511,6.266863171089514,16.04184208525829,16.041842085258295,117.8118599195488,117.81185991954884,142.091856240823,142.09185624082306,1.6852197905586033,1.6852197905586042,0.005212526164254647,0.005212526164254652,200.0000000033011,200.00000000330118,0.18566565560026524,0.18566565560026532,676.4122909957334,12848.249452610855,1.4539171183111295,27.616721440681726,94.94475574233414,1803.4472794676208,5.204711393881271,98.8619385064579,1.7723320907271274,33.66491874505737,0.0008994477693834579,0.017084741753614824,7.353407075858538,139.67577126392013,0.0033849937322057264,0.06429694499323894,25.209044684419982,478.83827493827226,987.0604140939118,15119.558680351312,62.971186752290585,1174.3085883161516,157.01586229804914,536.9128657550611,39.20400237850035,419.10100583551235,157.98704271799778,443.71292590744883,636.0812479811218,12082.173335672025,525.7202404502625,9985.898957643478,996313.1653108906,986889.6922407721
2003,7.888725170278463,7.888725170278463,5.655898170688243,5.655898170688242,20.97117084355953,20.971170843559527,121.10985486746647,121.10985486746644,145.4779040575755,145.47790405757544,2.5229443046385236,2.5229443046385227,0.007533606147847091,0.007533606147847088,199.99998728786727,199.99998728786724,0.1291476082254493,0.1291476082254492,926.5494763605791,14665.307647077969,0.5443968698119951,8.616644638620656,37.23194721984183,589.3025404573856,3.574986692345487,56.58443614192182,1.2259063766521652,19.403490713454516,0.00024315920031085488,0.0038486929956327402,3.071836398011565,48.62063707086902,0.0029603618813545942,0.04685623255357848,33.598527603973444,531.7932354098687,1173.5033518984437,15570.966219278416,26.993679498367857,400.3495456790353,165.7809932367618,486.4230655970604,44.67113836929534,365.3132107295939,163.77781839729275,434.7525292434027,772.3666643165922,12224.921644812595,638.1000625885911,10099.766894519975,996152.8132867482,986559.1549063852
2004,7.299126562033484,7.2991265620334795,14.577882396094916,14.577882396094912,9.502539206666347,9.50253920666634,111.88042704056916,111.88042704056912,140.79459182599894,140.79459182599885,0.8861898637909575,0.8861898637909572,0.003937433328163976,0.003937433328163973,200.00000000111595,200.00000000111584,0.35181474131788315,0.3518147413178829,648.5561590788749,13243.731540502482,1.979995990485239,40.43217380974518,128.7054997290021,2628.2089258361657,5.465422700713899,111.60574144639345,1.831883349798712,37.407664638799645,0.0019488182762155304,0.03979551455972594,10.025026024426028,204.71435124849748,0.006243447489916738,0.12749326528811103,24.50127571767069,500.3241638557933,995.6241796400134,16429.62265565608,83.49484017100353,1692.5978175083546,146.55359135614725,596.0185010027737,34.67316431557809,484.13807396220466,157.05654286572968,472.69691626488185,648.0952530005686,13234.319685752473,536.7072268518004,10959.739305179217,996337.6021611794,986057.2796051261
2005,6.116236935742114,6.116236935742113,32.85448859149258,32.854488591492576,1.6148493597194906,1.6148493597194902,101.3737273771969,101.37372737719687,141.0372642904642,141.03726429046415,0.2701950428971896,0.27019504289718943,0.0013170800714139236,0.0013170800714139232,200.00000000050315,200.00000000050318,2.5591666415913723,2.559166641591372,997.9699511886903,11939.92137695403,3.0852409325599472,36.91246827607245,199.23911418965483,2383.738464073911,7.626132751456001,91.24064843249242,2.5642352803404846,30.67904760339645,0.0006344524237375737,0.007590721592189759,16.834372458952977,201.40995563127402,0.049140945366695984,0.5879325558536845,37.64290517221915,450.367596360076,1425.0269580972097,14853.502016212844,128.74147736048124,1538.1555328936558,140.73846460728902,532.6188436279693,39.3647372300921,431.2451162507724,165.81962025560335,437.5089333990253,998.0835220378029,11941.280162363853,827.3120098499327,9898.13404707446,996074.5748987211,987136.5055411335
2006,7.174643682548107,7.174643682548107,3.833643656333214,3.8336436563332135,19.12630246684772,19.12630246684772,120.32413180114739,120.32413180114739,143.24202328488113,143.24202328488113,2.9171201823397266,2.917120182339726,0.016788330297434713,0.016788330297434713,199.99999850716597,199.99999850716594,0.12007552591147254,0.12007552591147252,963.8986044968093,13581.465437110175,1.3836581385209124,19.495935669403888,93.76820543423581,1321.2070598128307,6.436600719559709,90.69259961302095,2.2298135966413914,31.418383793379203,0.0021452179349618606,0.030226419151175174,7.379879130715215,103.98352365722423,0.002953349917849568,0.04161311121920902,35.555564939941476,500.9828565742464,1275.803000157579,15319.808689301608,63.869088737980036,872.3877669080478,168.40219424392973,520.058916843332,48.07806244278234,399.73478504218457,164.60771340448542,443.9057144229225,863.5391982943906,12167.387441490913,712.9327384166826,10045.321469103274,996102.4090998943,986733.7468834079
2007,7.2627670910862205,7.262767091086221,4.126137371831379,4.126137371831379,17.714460364539605,17.714460364539605,119.37513185010283,119.37513185010282,142.31175149034337,142.3117514903434,2.879917305857406,2.879917305857407,0.005276572414153711,0.005276572414153711,200.0000000000001,200.00000000000014,0.1227304410041166,0.12273044100411659,159.62287272243194,14796.734822419756,0.2886084949381582,26.753455155035994,19.864488954408724,1841.4001103237001,1.2831785362043855,118.94819461778059,0.42802616974904717,39.67720679883891,7.337142124630052e-05,0.006801390334663455,1.551683341176092,143.8380761864491,0.0005063022126693579,0.04693324617085174,5.928320489527981,549.5439640307632,385.4960992988522,17130.56665397133,15.098463727223049,1209.9043279342923,143.96894608628955,583.4738710673698,24.593814236186738,464.098739217267,146.0392016200568,485.19841603635143,147.67234621526694,13688.943885576342,121.93056712110291,11302.730226986265,996705.9855680799,985533.5266394156
2008,6.9824895030449605,6.982489503044958,3.7038554511553015,3.7038554511553,20.66146901502584,20.66146901502584,121.34295888582442,121.3429588858244,144.23579613223788,144.23579613223788,3.0045825028172177,3.004582502817217,0.010148683506892155,0.010148683506892154,199.99983786676407,199.99983786676404,0.11709199957605962,0.11709199957605959,11.369321406681058,6573.435290764226,0.010761102861627032,6.221779716474103,0.7421456159830503,429.0885980338432,0.06519699656271538,37.69514667826572,0.022497365010560766,13.007370257183634,4.366196245331383e-06,0.0025244170218108,0.060290393278348085,34.85828086776202,3.3261257786225694e-05,0.019230763026780166,0.4160256557781002,240.53482435179163,215.2622889346512,7284.316189530681,2.659441190317878,290.021744069608,144.38311493725817,310.92708254913686,23.040156051433772,189.58412366331245,144.5049336651415,282.5022251202847,9.804550506736222,5668.726919197399,8.090709131561749,4677.830015559551,996799.2782450174,992083.3418240092
2009,7.905776767982795,7.905776767982795,7.3646899399271435,7.364689939927144,18.38467476090926,18.38467476090926,119.25836810778682,119.25836810778685,143.78179333351878,143.7817933335188,3.1267100477185377,3.126710047718538,0.0021278650120322307,0.0021278650120322307,199.99999999999443,199.99999999999446,0.11568684479108497,0.11568684479108497,13.634000590988398,15945.541068474475,0.014557459360353145,17.025565206193907,1.005435221762273,1175.899070365143,0.08919613518065624,104.31865740215703,0.03041626935586042,35.57311509024172,1.006229011099708e-06,0.0011768274406109345,0.08370134239744562,97.89226454684758,3.9757954182820774e-05,0.04649861110023143,0.5000140658072032,584.7876247279563,217.95572966864313,17543.80664073498,2.9195103080883222,793.010167007304,140.09258976927558,555.7963876098553,20.83422166148877,436.5380195020683,144.10621883214972,486.67422184681107,11.895069447250748,13911.787455023295,9.811507069552759,11474.973018894314,996805.7722070604,985242.301406587
2010,7.9068701759686935,7.906870175968694,27.463423872015852,27.463423872015856,10.303679517582767,10.303679517582767,110.32919365002346,110.32919365002346,145.7564375501521,145.75643755015207,2.319267027734669,2.319267027734669,0.007843449251307933,0.007843449251307933,199.99999814692487,199.9999981469249,0.13531673485396445,0.13531673485396442,674.6432195324536,15458.693152657846,0.3519514909798601,8.064573905372747,23.958179780678577,548.9748344056475,2.3132615748673278,53.0057960005749,0.7801267634174679,17.87573032187957,0.0001662104514519404,0.0038085261859460216,2.178455781294489,49.91687234773288,0.0022531355380113246,0.0516280752626614,24.36882979585333,558.3844191964354,905.7723429946361,16320.98614646727,17.993596228532496,375.73894353205037,138.2008864097746,477.8317223620562,27.87169275975115,367.50252871203276,158.8834309581166,446.03853577626097,558.7384943401185,12802.866295118001,461.84289376361266,10582.612220389772,996364.4864270937,986097.1646212038
