simulation_number,Q_raw_inf,C1_surface_area,C1_height,Q_int,Q_was,Q_ext,inf_S_O2,inf_S_N2,inf_S_NH4,inf_S_NO3,inf_S_PO4,inf_S_F,inf_S_A,inf_S_I,inf_S_ALK,inf_X_I,inf_X_S,inf_X_H,inf_X_PAO,inf_X_PP,inf_X_PHA,inf_X_AUT,inf_X_MeOH,inf_X_MeP,inf_COD,inf_BOD,inf_TN,inf_TKN,inf_TP,inf_TSS,inf_VSS
4,18099.880132298986,1636.877756575395,5.722168507765393,8766.291140123969,349.9075009916072,15301.173014545771,0.021651093447550604,372.3191380042396,190.08847274834085,0.2279897656950763,54.76721921280113,0.6756189900033518,0.4305539156057661,737.7563796859798,157.90273523309426,1396.7216237907255,138.21598363386386,2580.8649618355707,1493.5627823675534,485.63232134959463,168.24720800278675,892.1705344215638,0.7624713818083857,71.95897222843867,7408.645646643654,2992.790754502575,578.839246205493,578.6112564397979,669.8661411611416,7360.58153998748,5002.4825613965095
5,14451.428394607456,2240.6229347908084,5.631441552480734,27758.745150759416,343.2250145207711,5024.253294214324,5.422336700470827,202.50587739202402,0.05675342397243466,94.7164802848128,36.25775694763567,0.47474986712584805,0.0030532920105228833,187.43799880742213,117.9198876632895,718.5795209758495,94.38427749375195,4330.686433927718,1125.0568804018983,378.3610175944108,11.259743698646378,332.0165818880935,1.0643141441491826,68.26054533929342,6799.899240352516,3341.1869362083175,519.9520104473801,425.2355301625672,552.527299946843,7115.027521833271,5077.241022084424
6,2231.184069775659,1895.314541350453,6.168358083753802,26902.092533864852,382.0383660203385,17725.89816127845,1.3486405024131487,687.0139406009229,0.11848129614888299,21.221128355079035,258.2777005611082,0.34361359641567296,0.006386471074240174,244.75867729405167,363.99171899979024,4839.562463386063,111.76356091681912,5115.780108679723,1358.467777494684,427.86096567905076,10.350230861809319,207.5729003130716,0.33267207892860906,145.81129784267162,11888.60571901371,3857.2579168422612,592.7867515905783,571.5656232354994,899.2376294524083,11259.374718668038,8473.212732838336
7,14146.73393623684,2625.0063585472844,9.475979746461249,5061.526510768324,841.065489138847,2384.912330798351,5.680912999554629,427.91689359142504,0.07500199913518192,197.95517145150748,132.7428631033336,0.35083999099747104,0.0004985914200382277,601.0465258383896,21.835009942637694,1451.9236341333835,112.71195580841675,6499.043703259259,465.4894922543571,156.17010675490667,0.005783464298358763,709.3791575091828,0.1605625281291733,45.08986313216107,9839.951590849705,4413.968514131408,774.7719795353566,576.8168080838493,467.3013672700015,8628.923834243573,7038.649438481759
8,5300.326829116739,1341.270515549496,2.6966027119275227,8841.811125586573,614.1879757495523,12361.240664838344,0.04974497425522867,327.30671313626544,6.016177432447738,104.6593975554162,124.79854121842135,0.1949942318132729,0.005366668102682124,512.783646822577,70.1064811813183,1396.791640946605,188.32225362433968,8927.873737921756,551.8439336774859,184.95152634594848,0.09561834944245307,239.3642651161794,0.4072434251612464,91.8982756498384,11817.275457358302,5616.639788238845,831.6137198170294,726.9543222616132,538.8583126712592,10624.86835119907,8660.878694735413
9,6498.0752826366825,2018.4402822363986,3.8058699020790385,26120.335660621244,719.6689548329217,11228.626449722287,7.284628156751131,66.67696160762621,148.88595250233945,392.92582402076215,133.6338366949068,161.09697365913254,0.024653963161704717,880.3958868557366,0.02899025661675031,2288.3665646409313,48.949290545081205,2949.906109469283,1508.7824354892075,481.7909829194183,17.340367046754036,1133.9616146837338,0.005338678245900533,247.13759910255501,8988.823896353022,3322.9854317405625,994.6594586910105,601.7336346702484,803.0175911200898,8597.71959832142,5916.212253365117
10,9341.789144701826,2345.8176283553307,9.74288144692764,34256.216400542195,320.98059083374346,5950.12806384009,4.067233102598682,296.2650607918962,0.06769990207671377,254.03476638142277,64.91177722912542,0.3266472502447031,0.007791559422637115,513.8600964074848,100.87169819483671,1775.233174430548,136.3458572275917,8707.117661862132,505.3148091117103,170.17332304278722,23.867867289920994,387.2137496117409,1.2420209982299177,142.599112671254,12049.287654750797,5532.697608670414,972.1845998837872,718.1498335023645,475.483233223124,10780.296055253031,8789.002592026862
11,16740.830279312097,2142.8930956909726,4.169759399342266,6218.4053919706785,374.4359158936923,12096.976770722424,0.9017430751461473,234.13930391018724,7.574543293516156,128.37402479616335,0.04199224216270168,2.001475231178014,0.02872491675065517,564.8757710797722,0.22459260800455674,718.9232025668169,106.6630715473882,6735.576994069284,862.5508240549726,180.1956948112111,88.4382262765146,852.7758109020751,43.8657168091427,40.1150571085467,9931.834100644754,4903.217586554098,751.8656110024878,623.4915862063244,365.77022731175396,8942.959308514046,7218.008157933362
12,10543.05531771302,1674.4085594156518,9.839951062167543,5662.685462298092,332.83810319475873,9052.949231095348,0.2815394189890213,348.7794529023035,0.06901738203589335,39.356130922283626,229.5462030183788,0.3774336025097087,0.0652570193430508,671.2597713639649,582.9191289331917,1473.1403969726223,149.77600876274403,8510.26996466107,314.94843945038303,106.05178012007086,526.849605877985,908.3099758415176,0.18941706578991413,73.21398811421179,12554.99685355214,5908.094862982249,762.9499039127046,723.593772990421,561.5377395394654,10707.445526983776,9007.585232048481
13,13628.971689499856,2110.343119777388,3.0834044088952925,47578.32307509887,406.26997912946115,6838.616697128356,0.5436550934700144,234.2862576873992,0.1607207593635977,354.57426503362865,47.65304755412293,0.23076408289392988,0.0012000572207788722,897.0752854064232,84.60344333937263,1573.4407742971202,144.56118153408121,9000.313912708247,527.4701254505987,176.80284502085624,0.04328313609199851,374.09433510905103,1.0096277964274023,85.10958655888741,12517.230861781729,5694.83032266062,1094.0954104456018,739.5211454119732,457.15508441522536,10856.552903492766,8886.18358734783
